date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:31	133/133	---MCZ	200	added ('OK')	text/plain	date:Wed,%2010%20Apr%202024%2009:35:35%20GMT	https://corretto.qodeinteractive.com/robots.txt		(from )
15:28:32	195460/195460	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202024%2008:28:32%20GMT	https://corretto.qodeinteractive.com/	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/index.html	(from )
15:28:33	95021/95021	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Oct%202023%2016:41:39%20GMT	https://corretto.qodeinteractive.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.5	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-includes/css/dist/block-library/style.minb5e1.css	(from https://corretto.qodeinteractive.com/)
15:28:33	10435/10435	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2009:50:20%20GMT	https://corretto.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.7.5	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style8caf.css	(from https://corretto.qodeinteractive.com/)
15:28:34	46560/46560	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2259e3974f9601c25f2d971d50a47cc33a%22	https://corretto.qodeinteractive.com/feed/	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/feed/index.html	(from https://corretto.qodeinteractive.com/)
15:28:34	8965/8965	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2259e3974f9601c25f2d971d50a47cc33a%22	https://corretto.qodeinteractive.com/comments/feed/	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/comments/feed/index.html	(from https://corretto.qodeinteractive.com/)
15:28:35	217/217	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2009:49:51%20GMT	https://corretto.qodeinteractive.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-includes/css/classic-themes.min68b3.css	(from https://corretto.qodeinteractive.com/)
15:28:35	235926/235926	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2009:50:20%20GMT	https://corretto.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.7.5	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style8caf.css	(from https://corretto.qodeinteractive.com/)
15:28:35	1325/1325	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2009:49:52%20GMT	https://corretto.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar.css?ver=7.3.4	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-content/plugins/anti-spam/assets/css/admin-bar72ad.css	(from https://corretto.qodeinteractive.com/)
15:28:35	2731/2731	---MCZ	200	added ('OK')	text/css	date:Fri,%2025%20Nov%202022%2009:49:54%20GMT	https://corretto.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/Users/ADMIN/OneDrive/Desktop/d/corretto.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://corretto.qodeinteractive.com/)
